keyword	avg_score
微歌	0.022956622764468193
群豪	0.015021172352135181
穗方源	1.0000000474974513E-4
开联	0.0752902552485466
应赫	0.005520297680050135
国际机场易	6.042936583980918E-4
恒坤	0.03482179716229439
肯汀	0.005316094029694796
御泰	0.005295954528264701
翰荣	1.0000000474974513E-4
志晟	4.800000227987766E-4
金新兴	5.0000002374872565E-5
能拓	0.04566385969519615
肯汇	0.25890618562698364
导电膜	0.011638626456260681
耀腾	0.0015845374000491574
嘉西成	7.000000332482159E-4
赛欧曼	1.0000000474974513E-4
御泽	1.0000000474974513E-4
志晴	0.01767519861459732
二商宫颐府	8.758283220231533E-4
羽西	0.032528433948755264
长运安信	8.761128410696983E-4
南丁格尔	0.0027381693944334984
广通	0.06412119952549872
博士园	0.011926131788641214
彩之富	0.023832615464925766
彩珀	0.002992505207657814
微步	0.05049628019332886
彪玛	2.607500064186752E-4
英技行	0.01250000111758709
御洋	5.0000002374872565E-5
创想汇智	0.005413985811173916
美车	0.14328409358859062
腾南	0.005935123655945063
腾博	0.04907557740807533
中商和旭	0.016931723803281784
新爱特	0.010044042021036148
国资委	0.23505611717700958
腾升	0.047518759965896606
胤旭	2.0000000949949026E-4
维宇大	5.0000002374872565E-5
悠丰	0.01717977225780487
快搜	1.500000071246177E-4
派乐滋	5.0000002374872565E-5
异联	0.01763002946972847
聚益	0.032992586493492126
都市安	8.500000694766641E-4
美辉	0.00496106781065464
思帝	0.007726179901510477
欧深特	0.02342166192829609
恒城	0.0633949488401413
美轮	0.008491449989378452
美轲	1.500000071246177E-4
盛世德	0.0839470699429512
平野	0.05176045373082161
广道	0.015726925805211067
径点	0.05659270565956831
联睿	0.019281800836324692
悠乐	0.06694142520427704
伊立浦	0.035823799669742584
翼航	5.0000002374872565E-5
恒域	0.02804337628185749
建腾	0.0065846087236423045
御流	5.008734297007322E-4
恒埔	0.002801747526973486
胜机	0.023338543251156807
开胜	0.018316498026251793
聚盛	0.004837777581997216
安慧音	5.0000002374872565E-5
度设	0.019659623503684998
聚盟	0.020798107172595337
申蓉圣飞	0.0026770997792482376
网雷	0.007178960833698511
博睿联创	0.0159440990537405
美达	0.141627699136734
法米拉	5.0000002374872565E-5
康视	0.0013407638762146235
恒基	0.07189217209815979
弈翰	0.007922794669866562
美迅	0.07511920481920242
怡工	5.0000002374872565E-5
伊科诺	5.0000002374872565E-5
合力天玺	4.976104246452451E-4
开能	0.07543725520372391
美辰	0.018326811492443085
庆达	0.04012700915336609
中瑞特	0.004228705482091755
新大平雅	0.013652539812028408
美连	0.024162020534276962
腾发	0.019238058477640152
胜杰	0.0031711229094071314
乘物游心	5.0000002374872565E-5
金文华	5.0000002374872565E-5
美迪	0.08994857966899872
众大利	0.009092519991099834
新剑创	5.0000002374872565E-5
美运	0.0032653582748025656
博士威	0.007916973903775215
忠旺	0.07869648188352585
希麦	0.06605000048875809
彩瑞	0.010283531621098518
美进	0.015159825794398785
水产业	0.0374332033097744
翔融	0.007554855663329363
群赞	0.01950429379940033
胜林	0.0023476877249777317
快播	0.6272470951080322
群赢	5.0000002374872565E-5
科雷特	5.0000002374872565E-5
延色	5.0000002374872565E-5
兴宇通光	0.014413625933229923
庞贝	0.013117464259266853
思康	0.024248050525784492
新凯帝	0.00401376374065876
恩善	0.0017062753904610872
辛普菲	5.0000002374872565E-5
登高者	0.04744758372544311
帅龙	0.003001371631398797
彼爱	0.3018648326396942
悦东	0.016010288149118423
鼎盛行	0.0030976291745901108
老舍	0.020571032539010048
易融汇	0.008115900680422783
德欣	0.04965629056096077
悦丰	0.03360241279006004
神导科讯	5.0000002374872565E-5
微水	0.0029190746136009693
爱多远	0.017173780128359795
诺君安	8.00000037997961E-4
彼海儿	5.0000002374872565E-5
聚睛	5.0000002374872565E-5
广都	0.006932630572312822
微汇	0.25744831562042236
美途	0.013107341714203358
悦为	0.03621591627597809
庆通	0.014211317524313927
能控	0.028400911018252373
聆科	1.0000000474974513E-4
腾吉	0.004356804769486189
美通	0.0756240040063858
沛尔膜业	0.01579984650015831
贝爱特	0.006369636859744787
积华灵大	3.63347731763497E-4
悦乐	0.018592752516269684
悦之	0.25
育泰	1.0000000474974513E-4
弈聪	0.0015113665722310543
思建	0.006153392605483532
彼特	1.0000000474974513E-4
悦习	2.0000000949949026E-4
建航	0.001311366562731564
康戴里	5.0000002374872565E-5
耀良	3.5000001662410796E-4
德正	0.06350167095661163
度豪	0.008606534451246262
怡庆	5.0000002374872565E-5
中瑞酒博	5.0000002374872565E-5
证大爱特	0.009075148031115532
联硕	0.005442386493086815
美道	0.058052849024534225
维富友	1.500000071246177E-4
华电辰能	0.00625766022130847
荷力胜	0.005911343774641864
移付通	0.25005000829696655
会员单位	0.0010367785580456257
志林	0.01666666753590107
拜斯倍斯	0.0035540168173611164
萌我爱	0.0668894425034523
弗维	3.5000001662410796E-4
耕耘	0.007168533930477376
恒信精功	5.690422840416431E-4
怡康	0.04807981103658676
领先世广	0.005985836964100599
您也	0.01952611282467842
高露洁	0.20389527082443237
美邦	0.05210702866315842
微河	0.013664024882018566
聚石	8.500000694766641E-4
悦享	9.096234571188688E-4
建艺	0.05063583701848984
御棉堂	1.0000000474974513E-4
联碳	1.703489979263395E-4
隔音墙	0.08749999850988388
网音	0.07259055227041245
恒声	0.002208079444244504
御湖	0.009799903258681297
东美线业	1.500000071246177E-4
彩电	0.08028110414743424
微泛	0.016380680724978447
罡阳	0.012597693130373955
富宸佳	3.880564181599766E-4
微泓	2.500000118743628E-4
乐依文	0.022373808547854424
聚研	0.011863170191645622
彩田	0.006141922902315855
思彤	1.0000000474974513E-4
庆邦	0.01651846617460251
德普乐	5.0000002374872565E-5
翱蒲	0.04149990528821945
德比	0.06413436681032181
中和信	0.008293535327538848
聚码	0.017637981101870537
微波	0.006696842145174742
翰蓝	5.0000002374872565E-5
睿策者	0.020454782992601395
御源	0.025047868490219116
微泰	1.0000000474974513E-4
恒太	0.17319308997442326
育海	0.0038070520386099815
舒纳斯	0.005100638139992952
恒大	0.3034573495388031
恒天	0.1493951314545344
建苑	0.029646722599864006
佳车易	0.015606018714606762
易物恒通	0.054722078144550323
番禺艺	0.005148997064679861
快方	0.11962354183197021
广重	0.02062210440635681
广野	0.024294301867485046
艾伏锐	0.0010625000577419996
面对面	0.15079465508460999
德氏	0.006569636985659599
思德	0.007151200307998806
快旅	0.007150111719965935
悦会	0.0679728090763092
恒奇	0.010117324069142342
怡有合顺	0.008490942418575287
悦众	5.0000002374872565E-5
美都	0.05423979088664055
恒奕	0.1365807792171836
微测	0.003964154049754143
德水	0.005813776049762964
网页	0.020040842005982995
思志	0.012903792783617973
芊之美	0.03140559419989586
安莱特	0.007143463473767042
华坤道威	0.036597840487957
微派	1.500000071246177E-4
微流	0.01036597415804863
国志汇富	1.0000000474974513E-4
凯荣船用	0.008076885715126991
悠倍	0.00109941849950701
怡彩	5.0000002374872565E-5
德永	0.03902249038219452
微浪	0.023121965627069585
瑛基量	1.7719999596010894E-4
欢乐岛	0.039806265383958817
亚讯星科	5.0000002374872565E-5
思念	0.1690334975719452
育淘	0.017717454582452774
开艺	0.07511640340089798
德汇	0.05420245975255966
恒如	0.015076112002134323
志承云	5.0000002374872565E-5
志勤美集	7.082528318278491E-4
福维克	0.006100350428217401
弘羊	5.0000002374872565E-5
星时代	0.03919707611203194
联祥	0.06420658528804779
快易	0.01348069915547967
优家尚美	0.010201113298535347
网风	0.012780639342963696
胡桃	0.00426666671410203
欢乐家	0.01030111312866211
美酒	0.010511779226362705
康蒙来	2.0000000949949026E-4
腾商	0.014679824002087116
怡得	0.02040085569024086
德沃	0.051283396780490875
耀莱	0.022424413007684052
城镇化	0.005185388028621674
建荣	0.04363058879971504
应达	0.05164744332432747
联福	0.005160556252424915
寮步伟易达	0.012376372702419758
小南国	0.14411328732967377
司普斯	0.003704358634422533
思总	0.012197157368063927
德沐	2.0000000949949026E-4
恩图	0.0010000000474974513
弘翎	0.028561241924762726
怡德	0.03944135829806328
开花	5.0000002374872565E-5
尹迈杰	0.012712742201983929
腾喜	5.0000002374872565E-5
思威泰克	5.0000002374872565E-5
汇安恒达	0.007297761272639036
建莘	5.0000002374872565E-5
兴源环亚	0.011537274345755577
康讯	0.04529785364866257
思恒	4.250000056345016E-4
老莫	9.379729744978249E-4
帝鹏	1.0000000474974513E-4
德沪	2.0000000949949026E-4
快智	0.18616782128810883
恒威	0.04774323105812073
忠柏	1.0000000474974513E-4
微淘	0.007112531922757626
康证	0.02138468809425831
快景	0.01666666753590107
德治	1.500000071246177E-4
引聚	0.01269035879522562
恩地	0.040987420827150345
羿诚	1.0000000474974513E-4
联科	0.13330011069774628
快普	0.04611502215266228
德泓	0.016076255589723587
悦信	0.0059662379790097475
影界	2.0000000949949026E-4
德泉	0.006131813395768404
帝鹰	0.006569097749888897
健千年视	1.500000071246177E-4
德泛	1.500000071246177E-4
博科思	0.02314698603004217
开茂	0.25
康诚	0.03212911635637283
美野	0.007185120601207018
深科达	0.007627321872860193
美金	0.010151113383471966
胜楠	5.0000002374872565E-5
德泰	0.09219764918088913
罗顿	0.04690062627196312
朗格森	5.0000002374872565E-5
微清	0.006263354793190956
奥拓福	0.00828614179044962
华科贸	0.031087223440408707
中瑞盛	0.09202694147825241
帝麦	0.008517047390341759
联程	0.008132063036706919
德泽	0.022727852687239647
康诺	0.026990728452801704
弘联	0.0058443742551996065
